__run_id,__done,DFO,Library,DataFrame size,avg_CPU_usage,avg_memory_usage,avg_execution_time,avg_energy_usage
run_28_repetition_0,DONE,fillna,Pandas,Large, , , , 
run_1_repetition_0,DONE,isna,Modin,Large, , , , 
run_30_repetition_0,DONE,fillna,Polar,Large, , , , 
run_15_repetition_0,DONE,sort,Dask,Large, , , , 
run_37_repetition_0,DONE,merge,Modin,Large, , , , 
run_16_repetition_0,DONE,mean,Pandas,Large, , , , 
run_29_repetition_0,DONE,fillna,Modin,Large, , , , 
run_35_repetition_0,DONE,concat,Dask,Large, , , , 
run_33_repetition_0,DONE,concat,Modin,Large, , , , 
run_19_repetition_0,DONE,mean,Dask,Large, , , , 
run_21_repetition_0,DONE,drop,Modin,Large, , , , 
run_34_repetition_0,DONE,concat,Polar,Large, , , , 
run_12_repetition_0,DONE,sort,Pandas,Large, , , , 
run_5_repetition_0,DONE,replace,Modin,Large, , , , 
run_36_repetition_0,DONE,merge,Pandas,Large, , , , 
run_13_repetition_0,DONE,sort,Modin,Large, , , , 
run_23_repetition_0,DONE,drop,Dask,Large, , , , 
run_32_repetition_0,DONE,concat,Pandas,Large, , , , 
run_26_repetition_0,DONE,dropna,Polar,Large, , , , 
run_6_repetition_0,DONE,replace,Polar,Large, , , , 
run_25_repetition_0,DONE,dropna,Modin,Large, , , , 
run_31_repetition_0,DONE,fillna,Dask,Large, , , , 
run_24_repetition_0,DONE,dropna,Pandas,Large, , , , 
run_10_repetition_0,DONE,groupby,Polar,Large, , , , 
run_3_repetition_0,DONE,isna,Dask,Large, , , , 
run_4_repetition_0,DONE,replace,Pandas,Large, , , , 
run_20_repetition_0,DONE,drop,Pandas,Large, , , , 
run_11_repetition_0,DONE,groupby,Dask,Large, , , , 
run_39_repetition_0,DONE,merge,Dask,Large, , , , 
run_14_repetition_0,DONE,sort,Polar,Large, , , , 
run_22_repetition_0,DONE,drop,Polar,Large, , , , 
run_17_repetition_0,DONE,mean,Modin,Large, , , , 
run_9_repetition_0,DONE,groupby,Modin,Large, , , , 
run_27_repetition_0,DONE,dropna,Dask,Large, , , , 
run_8_repetition_0,DONE,groupby,Pandas,Large, , , , 
run_38_repetition_0,DONE,merge,Polar,Large, , , , 
run_2_repetition_0,DONE,isna,Polar,Large, , , , 
run_0_repetition_0,DONE,isna,Pandas,Large, , , , 
run_18_repetition_0,DONE,mean,Polar,Large, , , , 
run_7_repetition_0,DONE,replace,Dask,Large, , , , 
